Facility_Name,Municipality,Confirmed_Resident_Cases,Confirmed_Staff_Cases,Confirmed_Resident_Deaths,Confirmed_Staff_Deaths,Reported_Date,County,Concluded_Date
Atlas Post Acute at Woodbury Country Club,Woodbury,22,11,3,0,8/19/2021,Gloucester,12/7/2021
Promedica Skilled Nursing And Rehabilitation - West Deptford (formerly ManorCare West Deptford),West Deptford,1,1,0,0,8/18/2021,Gloucester,9/20/2021
United Methodist Communities at Pitman,Pitman,1,10,0,0,8/14/2021,Gloucester,11/30/2021
Advanced Subacute Rehabilitation Center,Mantua,0,2,0,0,8/13/2021,Gloucester,9/30/2021
Cardinal Village,Sewell,4,4,1,0,7/29/2021,Gloucester,10/27/2021
Juniper Village At Washington Square,Mantua,0,2,0,0,7/20/2021,Gloucester,9/2/2021
Juniper Village at Williamstown,Monroe Twp,16,9,4,0,7/20/2021,Gloucester,9/3/2021
Shady Lane Nursing Home,East Greenwich,1,0,0,0,6/15/2021,Gloucester,7/6/2021
Juniper Village At Washington Square,Mantua,1,1,0,0,5/17/2021,Gloucester,6/15/2021
Washington Township Senior Living,Mantua,0,2,0,0,5/3/2021,Gloucester,5/21/2021
Deptford Center For Rehabilitation And Healthcare,Deptford,1,1,0,0,4/30/2021,Gloucester,6/4/2021
Cedar Grove Respiratory And Nursing Center,Monroe Twp,0,3,0,0,4/20/2021,Gloucester,6/1/2021
Terraces at Parke Place,Sewell,2,1,2,0,4/15/2021,Gloucester,6/7/2021
Brightview Woodbury Lake,Woodbury,1,1,0,0,4/9/2021,Gloucester,5/10/2021
Atlas Post Acute at Woodbury Country Club,Woodbury,7,3,0,0,4/7/2021,Gloucester,6/10/2021
Woodbury Mews Senior Living,Woodbury,0,2,0,0,3/12/2021,Gloucester,4/14/2021
Mullica Gardens Assisted Living,Harrison Twp,4,0,0,0,1/26/2021,Gloucester,3/4/2021
Cardinal Village,Sewell,3,1,0,0,1/26/2021,Gloucester,2/19/2021
All American Assisted Living,Sewell,1,1,0,0,1/6/2021,Gloucester,2/27/2021
Terraces at Parke Place,Sewell,15,10,0,0,11/25/2020,Gloucester,3/23/2021
United Methodist Communities at Pitman,Pitman,9,34,0,0,11/20/2020,Gloucester,6/1/2021
Atlas Post Acute at Woodbury Country Club,Woodbury,15,35,0,0,11/18/2020,Gloucester,3/22/2021
Traditions Of Cross Keys,Glassboro,9,13,5,0,11/16/2020,Gloucester,2/18/2021
Woodbury Mews Senior Living,Woodbury,31,17,12,0,11/12/2020,Gloucester,2/22/2021
Summit Place,Glassboro,20,13,5,0,11/8/2020,Gloucester,1/9/2021
Advanced Subacute Rehabilitation Center,Mantua,15,22,3,1,11/4/2020,Gloucester,2/26/2021
All American Assisted Living,Sewell,3,5,1,0,11/2/2020,Gloucester,1/8/2021
The Center for Rehabilitation and Nursing at Washington Township,Mantua,64,60,18,0,11/2/2020,Gloucester,4/13/2021
Washington Township Senior Living,Mantua,3,2,0,0,11/1/2020,Gloucester,12/3/2020
Juniper Village at Williamstown,Monroe Twp,0,6,0,0,10/28/2020,Gloucester,12/11/2020
Deptford Center For Rehabilitation And Healthcare,Deptford,0,4,0,0,10/23/2020,Gloucester,11/30/2020
Tylers Mill Senior Living,Deptford,9,6,0,0,10/21/2020,Gloucester,12/29/2020
Promedica Skilled Nursing And Rehabilitation - West Deptford (formerly ManorCare West Deptford),West Deptford,35,27,3,0,10/19/2020,Gloucester,4/23/2021
Manorcare Health Services-Washington Township,Mantua,61,56,5,0,10/13/2020,Gloucester,5/24/2021
Shady Lane Nursing Home,East Greenwich,31,21,13,0,9/24/2020,Gloucester,12/19/2020
Cedar Grove Respiratory And Nursing Center,Monroe Twp,97,75,24,0,9/11/2020,Gloucester,3/5/2021
Washington Township Senior Living,Mantua,1,1,1,0,9/6/2020,Gloucester,11/3/2020
United Methodist Communities at Pitman,Pitman,2,3,0,0,8/21/2020,Gloucester,10/30/2020
Brightview Woodbury Lake,Woodbury,1,2,0,0,8/17/2020,Gloucester,2/24/2021
Tylers Mill Senior Living,Deptford,2,1,0,0,7/31/2020,Gloucester,9/25/2020
Atlas Post Acute at Woodbury Country Club,Woodbury,187,25,19,0,6/9/2020,Gloucester,10/6/2020
Brightview Woodbury Lake,Woodbury,0,5,0,0,6/8/2020,Gloucester,8/14/2020
Manorcare Health Services-Washington Township,Mantua,9,8,2,0,5/27/2020,Gloucester,7/9/2020
Terraces at Parke Place,Sewell,3,2,0,0,5/12/2020,Gloucester,7/9/2020
United Methodist Communities at Pitman,Pitman,9,14,1,0,5/12/2020,Gloucester,8/4/2020
The Center for Rehabilitation and Nursing at Washington Township,Mantua,30,11,5,0,5/4/2020,Gloucester,7/16/2020
Woodbury Mews Senior Living,Woodbury,2,2,2,0,4/29/2020,Gloucester,8/3/2020
Advanced Subacute Rehabilitation Center,Mantua,67,43,31,0,4/29/2020,Gloucester,11/3/2020
All American Assisted Living,Sewell,20,20,4,0,4/24/2020,Gloucester,8/12/2020
Twin Cedars Assisted Living,Wenonah,22,3,4,0,4/16/2020,Gloucester,8/12/2020
Deptford Center For Rehabilitation And Healthcare,Deptford,195,60,37,1,4/15/2020,Gloucester,9/22/2020
Washington Township Senior Living,Mantua,19,8,8,0,4/14/2020,Gloucester,8/3/2020
Tylers Mill Senior Living,Deptford,29,4,5,0,4/13/2020,Gloucester,7/10/2020
Traditions Of Cross Keys,Glassboro,20,1,7,0,4/10/2020,Gloucester,7/4/2020
Cardinal Village,Sewell,17,19,3,0,4/6/2020,Gloucester,8/3/2020
Promedica Skilled Nursing And Rehabilitation - West Deptford (formerly ManorCare West Deptford),West Deptford,52,47,16,2,4/6/2020,Gloucester,7/17/2020
Cedar Grove Respiratory And Nursing Center,Monroe Twp,15,12,3,0,3/24/2020,Gloucester,7/24/2020
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,4,0,0,0,4/4/2025,Hudson,5/5/2025
Alaris Health at Belgrove,Kearny,6,1,0,0,3/25/2025,Hudson,4/25/2025
Optimacare Fountains (formerly Alaris Health at the Fountains),Secaucus,14,4,0,0,2/20/2025,Hudson,4/1/2025
Manhattanview Healthcare Center,Union City,3,0,0,0,1/24/2025,Hudson,2/20/2025
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,28,2,1,0,1/13/2025,Hudson,2/18/2025
Optimacare Fountains (formerly Alaris Health at the Fountains),Secaucus,2,0,1,0,12/27/2024,Hudson,1/27/2025
Alaris Health at Hamilton Park,Jersey city,20,0,0,0,12/9/2024,Hudson,1/28/2025
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,37,9,1,0,9/25/2024,Hudson,12/24/2024
Manhattanview Healthcare Center,Union City,33,5,0,0,9/19/2024,Hudson,10/25/2024
Alaris Health at Belgrove,Kearny,17,3,0,0,9/16/2024,Hudson,11/12/2024
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,11,0,0,0,9/3/2024,Hudson,10/22/2024
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,17,1,0,0,9/3/2024,Hudson,10/16/2024
Alaris Health at the Atrium,Jersey city,3,0,0,0,8/27/2024,Hudson,10/8/2024
The Harborage,North Bergen,35,8,1,0,8/2/2024,Hudson,11/7/2024
Harbour View Senior Living (formerly Hudson Hills Senior Living) §,North Bergen,2,4,0,0,7/22/2024,Hudson,9/5/2024
Alaris Health at Belgrove,Kearny,4,6,0,0,7/13/2024,Hudson,8/27/2024
Hoboken University Medical Center Transitional Care Unit,Hoboken,2,0,0,0,6/25/2024,Hudson,8/14/2024
Optimacare Fountains (formerly Alaris Health at the Fountains),Secaucus,42,18,1,0,6/21/2024,Hudson,8/28/2024
Alaris Health at Hamilton Park,Jersey city,12,2,0,0,6/17/2024,Hudson,7/31/2024
Alaris Health at Kearny,Kearny,4,0,0,0,5/20/2024,Hudson,7/5/2024
The Harborage,North Bergen,4,2,0,0,5/19/2024,Hudson,8/2/2024
Peace Care St. Ann's,Jersey city,6,11,0,0,5/9/2024,Hudson,6/24/2024
Hoboken University Medical Center Transitional Care Unit,Hoboken,1,1,0,0,3/22/2024,Hudson,4/25/2024
Alaris Health at Hamilton Park,Jersey city,3,4,0,0,2/23/2024,Hudson,3/28/2024
Manhattanview Healthcare Center,Union City,3,0,0,0,2/20/2024,Hudson,3/18/2024
Peace Care St. Ann's,Jersey city,5,0,0,0,1/30/2024,Hudson,2/26/2024
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,3,1,0,0,1/16/2024,Hudson,2/20/2024
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City) §,Jersey city,3,1,0,0,1/12/2024,Hudson,2/2/2024
Optimacare Castle Hill (formerly Alaris Health at Castle Hill) §,Union City,11,9,0,0,1/10/2024,Hudson,4/3/2024
Hoboken University Medical Center Transitional Care Unit,Hoboken,4,1,0,0,1/10/2024,Hudson,2/14/2024
Alaris Health at Belgrove,Kearny,14,2,1,0,12/26/2023,Hudson,2/5/2024
Hudsonview Center for Rehabilitation and Healthcare §,North Bergen,6,0,0,0,12/26/2023,Hudson,2/6/2024
Alaris Health at the Atrium,Jersey city,3,4,0,0,12/11/2023,Hudson,2/13/2024
Peace Care St. Ann's,Jersey city,32,4,2,0,12/2/2023,Hudson,1/29/2024
Alaris Health at Kearny,Kearny,5,1,0,0,12/1/2023,Hudson,1/3/2024
Hoboken University Medical Center Transitional Care Unit,Hoboken,1,0,0,0,11/29/2023,Hudson,12/29/2023
Alaris Health at Belgrove,Kearny,2,0,0,0,11/29/2023,Hudson,12/22/2023
Alaris Health at Hamilton Park,Jersey city,16,9,2,0,11/22/2023,Hudson,2/23/2024
Manhattanview Healthcare Center §,Union City,47,7,0,0,11/16/2023,Hudson,1/3/2024
Alaris Health at the Atrium,Jersey city,1,2,0,0,11/1/2023,Hudson,11/28/2023
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,26,1,1,0,10/23/2023,Hudson,12/6/2023
Hoboken University Medical Center Transitional Care Unit,Hoboken,4,6,0,0,10/12/2023,Hudson,11/14/2023
Optimacare Fountains (formerly Alaris Health at the Fountains),Secaucus,57,25,1,0,10/5/2023,Hudson,3/15/2024
The Harborage §,North Bergen,60,43,3,0,10/3/2023,Hudson,3/18/2024
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,24,8,0,0,9/29/2023,Hudson,11/15/2023
Alaris Health at Kearny,Kearny,8,5,0,0,9/25/2023,Hudson,11/8/2023
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City),Jersey city,3,3,0,0,9/22/2023,Hudson,10/27/2023
Alaris Health at Belgrove,Kearny,23,0,0,0,9/10/2023,Hudson,10/30/2023
Alaris Health at Hamilton Park,Jersey city,25,13,3,0,9/8/2023,Hudson,11/8/2023
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,16,6,1,0,9/1/2023,Hudson,10/23/2023
Alaris Health at the Atrium,Jersey city,4,3,0,0,8/31/2023,Hudson,10/17/2023
Peace Care St. Ann's §,Jersey city,2,12,0,0,8/28/2023,Hudson,10/4/2023
Peace Care at St. Joseph's,Jersey city,1,0,0,0,8/28/2023,Hudson,9/25/2023
Optimacare Castle Hill (formerly Alaris Health at Castle Hill) §,Union City,8,0,0,0,8/21/2023,Hudson,10/4/2023
Optimacare Fountains (formerly Alaris Health at the Fountains),Secaucus,3,1,0,0,7/26/2023,Hudson,8/25/2023
Alaris Health at Hamilton Park,Jersey city,2,1,0,0,6/30/2023,Hudson,8/25/2023
Peace Care St. Ann's,Jersey city,16,2,0,0,6/2/2023,Hudson,7/11/2023
The Harborage,North Bergen,77,18,6,0,3/20/2023,Hudson,5/24/2023
Alaris Health at Belgrove,Kearny,7,0,1,0,3/10/2023,Hudson,4/20/2023
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,6,2,0,0,3/9/2023,Hudson,4/6/2023
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,2,0,0,0,1/29/2023,Hudson,3/1/2023
Alaris Health at the Atrium,Jersey city,9,1,1,0,1/26/2023,Hudson,4/14/2023
Peace Care at St. Joseph's §,Jersey city,42,8,0,0,1/9/2023,Hudson,4/6/2023
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City) §,Jersey city,3,3,0,0,1/4/2023,Hudson,3/17/2023
Hoboken University Medical Center Transitional Care Unit,Hoboken,2,2,0,0,12/27/2022,Hudson,2/10/2023
Peace Care St. Ann's,Jersey city,5,2,0,0,12/25/2022,Hudson,2/27/2023
Alaris Health at Kearny,Kearny,2,1,0,0,12/20/2022,Hudson,2/16/2023
Manhattanview Healthcare Center,Union City,33,4,0,0,12/17/2022,Hudson,2/17/2023
Alaris Health at Belgrove,Kearny,11,13,0,0,12/2/2022,Hudson,1/27/2023
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,12,11,1,0,11/29/2022,Hudson,2/17/2023
Peace Care at St. Joseph's,Jersey city,1,0,0,0,11/16/2022,Hudson,12/9/2022
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,38,20,0,0,10/14/2022,Hudson,3/2/2023
Alaris Health at the Atrium,Jersey city,6,5,0,0,9/13/2022,Hudson,12/22/2022
Manhattanview Healthcare Center,Union City,2,0,0,0,9/8/2022,Hudson,10/14/2022
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,77,26,2,0,9/1/2022,Hudson,2/17/2023
Optimacare Fountains (formerly Alaris Health at the Fountains) §,Secaucus,95,19,1,0,8/15/2022,Hudson,3/24/2023
Alaris Health at Belgrove,Kearny,17,8,1,0,8/3/2022,Hudson,10/28/2022
Peace Care St. Ann's,Jersey city,2,0,0,0,7/18/2022,Hudson,9/6/2022
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,105,13,3,0,7/10/2022,Hudson,1/25/2023
Peace Care at St. Joseph's,Jersey city,6,3,0,0,7/8/2022,Hudson,8/30/2022
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,1,7,0,0,6/28/2022,Hudson,10/17/2022
Alaris Health at Kearny,Kearny,15,15,0,0,6/28/2022,Hudson,12/19/2022
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,9,14,0,0,6/18/2022,Hudson,10/7/2022
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,1,1,0,0,5/23/2022,Hudson,6/24/2022
Alaris Health at Belgrove,Kearny,3,5,0,0,5/19/2022,Hudson,7/26/2022
Manhattanview Healthcare Center,Union City,63,10,0,0,5/17/2022,Hudson,7/29/2022
Alaris Health at Hamilton Park,Jersey city,86,53,2,0,5/13/2022,Hudson,3/24/2023
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City),Jersey city,14,15,0,0,5/6/2022,Hudson,10/24/2022
Optimacare Fountains (formerly Alaris Health at the Fountains),Secaucus,1,1,0,0,5/3/2022,Hudson,7/15/2022
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,17,5,0,0,4/25/2022,Hudson,6/21/2022
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,1,5,0,0,4/20/2022,Hudson,6/15/2022
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,1,2,0,0,4/18/2022,Hudson,6/15/2022
The Harborage,North Bergen,91,80,5,0,4/14/2022,Hudson,3/16/2023
Alaris Health at Hamilton Park,Jersey city,1,0,0,0,4/8/2022,Hudson,5/6/2022
Peace Care St. Ann's,Jersey city,8,4,0,0,4/4/2022,Hudson,5/8/2022
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,6,3,0,0,2/18/2022,Hudson,4/6/2022
Hoboken University Medical Center Transitional Care Unit,Hoboken,0,7,0,0,1/4/2022,Hudson,2/9/2022
Manhattanview Healthcare Center §,Union City,10,26,0,0,12/30/2021,Hudson,2/24/2022
Peace Care at St. Joseph's,Jersey city,24,31,4,0,12/30/2021,Hudson,4/11/2022
Alaris Health at Belgrove,Kearny,13,32,1,0,12/29/2021,Hudson,3/14/2022
Alaris Health at Kearny §,Kearny,21,24,1,0,12/29/2021,Hudson,2/17/2022
Optimacare Fountains (formerly Alaris Health at the Fountains) §,Secaucus,67,36,0,0,12/28/2021,Hudson,2/22/2022
Alaris Health at the Atrium,Jersey city,2,9,0,0,12/27/2021,Hudson,2/15/2022
Alaris Health at Hamilton Park §,Jersey city,99,47,11,0,12/23/2021,Hudson,4/1/2022
The Harborage,North Bergen,21,51,2,0,12/20/2021,Hudson,2/22/2022
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,20,21,1,0,12/20/2021,Hudson,3/16/2022
Peace Care St. Ann's,Jersey city,30,27,3,0,12/20/2021,Hudson,3/7/2022
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,13,35,0,0,12/17/2021,Hudson,2/28/2022
Optimacare Harborview (formerly Alaris Health at Harborview) §,Jersey city,38,23,1,0,12/16/2021,Hudson,2/22/2022
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City),Jersey city,43,25,2,0,12/14/2021,Hudson,3/28/2022
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,112,61,1,0,11/13/2021,Hudson,3/3/2022
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,1,0,0,0,11/5/2021,Hudson,12/2/2021
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,5,1,0,0,10/5/2021,Hudson,12/1/2021
Manhattanview Healthcare Center,Union City,6,2,1,0,10/4/2021,Hudson,11/8/2021
Peace Care St. Ann's,Jersey city,1,0,0,0,10/4/2021,Hudson,11/1/2021
Alaris Health at Hamilton Park,Jersey city,1,1,0,0,9/19/2021,Hudson,10/26/2021
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City),Jersey city,1,1,0,0,9/9/2021,Hudson,10/13/2021
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,0,3,0,0,8/30/2021,Hudson,9/28/2021
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,1,0,0,0,8/23/2021,Hudson,9/20/2021
The Harborage,North Bergen,0,7,0,0,8/17/2021,Hudson,11/1/2021
Manhattanview Healthcare Center,Union City,3,0,0,0,8/9/2021,Hudson,9/3/2021
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,1,1,0,0,8/4/2021,Hudson,9/28/2021
Hoboken University Medical Center Transitional Care Unit,Hoboken,1,0,0,0,8/2/2021,Hudson,9/7/2021
Optimacare Fountains (formerly Alaris Health at the Fountains) §,Secaucus,8,9,1,0,7/31/2021,Hudson,10/27/2021
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City) §,Jersey city,1,0,0,0,7/23/2021,Hudson,8/20/2021
Alaris Health at Belgrove,Kearny,4,3,0,0,7/20/2021,Hudson,8/31/2021
Alaris Health at Belgrove,Kearny,2,1,0,0,5/14/2021,Hudson,6/10/2021
Hoboken University Medical Center Transitional Care Unit,Hoboken,6,0,0,0,4/13/2021,Hudson,5/18/2021
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,0,2,0,0,4/6/2021,Hudson,5/4/2021
Hudsonview Center for Rehabilitation and Healthcare §,North Bergen,12,9,3,0,3/30/2021,Hudson,6/3/2021
The Harborage,North Bergen,17,9,0,0,3/30/2021,Hudson,5/18/2021
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City),Jersey city,0,5,0,0,3/29/2021,Hudson,5/21/2021
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,9,2,2,0,3/26/2021,Hudson,5/18/2021
Alaris Health at Kearny,Kearny,2,2,0,0,3/10/2021,Hudson,5/28/2021
Peace Care at St. Joseph's,Jersey city,3,3,0,0,2/9/2021,Hudson,5/10/2021
Alaris Health at Hamilton Park,Jersey city,17,8,1,0,1/22/2021,Hudson,6/22/2021
Peace Care St. Ann's,Jersey city,1,3,0,0,12/22/2020,Hudson,2/16/2021
Alaris Health at the Atrium,Jersey city,1,6,1,0,12/4/2020,Hudson,2/17/2021
Alaris Health at Kearny,Kearny,2,6,0,0,11/30/2020,Hudson,3/1/2021
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City),Jersey city,0,9,0,0,11/30/2020,Hudson,3/8/2021
Manhattanview Healthcare Center,Union City,8,5,1,0,11/28/2020,Hudson,12/30/2020
Peace Care at St. Joseph's,Jersey city,18,8,3,0,11/28/2020,Hudson,1/6/2021
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,0,4,0,0,11/26/2020,Hudson,12/30/2020
Alaris Health at Belgrove,Kearny,128,23,6,0,11/23/2020,Hudson,3/18/2021
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,6,5,3,0,11/21/2020,Hudson,1/22/2021
The Harborage,North Bergen,87,35,9,0,11/2/2020,Hudson,2/24/2021
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,10,16,1,0,10/28/2020,Hudson,2/27/2021
Peace Care at St. Joseph's,Jersey city,1,0,0,0,10/20/2020,Hudson,11/11/2020
Peace Care St. Ann's,Jersey city,9,5,3,0,10/19/2020,Hudson,12/8/2020
Alaris Health at Kearny,Kearny,0,2,0,0,8/5/2020,Hudson,8/21/2020
Alaris Health at the Atrium,Jersey city,23,12,4,1,4/26/2020,Hudson,8/10/2020
Peace Care St. Ann's,Jersey city,44,33,11,0,4/17/2020,Hudson,8/11/2020
Harbour View Senior Living (formerly Hudson Hills Senior Living),North Bergen,67,19,13,0,4/8/2020,Hudson,8/12/2020
Alaris Health at Hamilton Park,Jersey city,123,80,33,2,4/8/2020,Hudson,1/19/2021
Optimacare Fountains (formerly Alaris Health at the Fountains),Secaucus,77,68,7,2,4/7/2020,Hudson,8/21/2020
Optimacare Harborview (formerly Alaris Health at Harborview),Jersey city,90,31,24,0,4/7/2020,Hudson,8/24/2020
Manhattanview Healthcare Center,Union City,42,26,5,0,4/5/2020,Hudson,7/3/2020
Alaris Health at Kearny,Kearny,69,22,28,0,4/1/2020,Hudson,7/14/2020
Alaris Health at Boulevard East,Guttenberg,35,42,11,0,3/31/2020,Hudson,7/31/2020
Optimacare Castle Hill (formerly Alaris Health at Castle Hill),Union City,73,38,19,1,3/30/2020,Hudson,10/31/2020
Acclaim Rehabilitation and Care Center (formerly Alaris Health at Jersey City),Jersey city,56,37,8,0,3/27/2020,Hudson,8/16/2020
The Harborage,North Bergen,134,59,40,1,3/25/2020,Hudson,7/11/2020
Hudsonview Center for Rehabilitation and Healthcare,North Bergen,105,96,37,1,3/23/2020,Hudson,8/19/2020
Peace Care at St. Joseph's,Jersey city,58,34,14,0,3/17/2020,Hudson,8/28/2020
Alaris Health at Belgrove,Kearny,22,31,2,0,3/16/2020,Hudson,8/17/2020
Courtyard Luxury Senior Living,Clifton,7,9,0,0,3/26/2025,Hunterdon,5/5/2025
Hunterdon Developmental Center,Union Twp,0,14,0,0,3/25/2025,Hunterdon,4/25/2025
Hunterdon Care Center §,Raritan Twp,17,1,1,0,1/9/2025,Hunterdon,2/28/2025
Hunterdon Developmental Center §,Union Twp,43,14,0,0,1/2/2025,Hunterdon,3/18/2025
Rolling Hills Healthcare Center,Clinton Twp,3,0,0,0,12/16/2024,Hunterdon,1/21/2025
Independence Manor at Hunterdon,Raritan Twp,11,1,1,0,10/23/2024,Hunterdon,11/29/2024
Hunterdon Care Center,Raritan Twp,6,1,0,0,10/8/2024,Hunterdon,11/22/2024
Hunterdon Developmental Center,Union Twp,1,3,0,0,9/16/2024,Hunterdon,10/16/2024
Hunterdon Care Center,Raritan Twp,8,2,0,0,8/26/2024,Hunterdon,10/3/2024
Little Brook Nursing Home,Califon,16,5,1,0,8/16/2024,Hunterdon,9/23/2024
Country Arch Care Center,Franklin Twp,5,4,0,0,8/6/2024,Hunterdon,9/12/2024
Hunterdon Developmental Center §,Union Twp,48,22,0,0,6/14/2024,Hunterdon,9/4/2024
Rolling Hills Healthcare Center,Clinton Twp,12,3,0,0,5/28/2024,Hunterdon,8/6/2024
Hunterdon Developmental Center,Union Twp,36,20,0,0,3/19/2024,Hunterdon,5/29/2024
Rolling Hills Healthcare Center,Clinton Twp,1,0,0,0,2/26/2024,Hunterdon,3/22/2024
Independence Manor at Hunterdon,Raritan Twp,11,2,0,0,2/16/2024,Hunterdon,4/1/2024
Rolling Hills Healthcare Center,Clinton Twp,5,2,1,0,1/9/2024,Hunterdon,2/12/2024
Country Arch Care Center,Franklin Twp,5,3,0,0,12/28/2023,Hunterdon,2/27/2024
Little Brook Nursing Home,Califon,4,2,1,0,12/27/2023,Hunterdon,2/2/2024
Independence Manor at Hunterdon,Raritan Twp,6,2,0,0,12/12/2023,Hunterdon,1/31/2024
Country Arch Care Center §,Franklin Twp,47,9,0,0,11/8/2023,Hunterdon,12/29/2023
Rolling Hills Healthcare Center,Clinton Twp,23,2,0,0,10/17/2023,Hunterdon,12/7/2023
Hunterdon Care Center,Raritan Twp,80,15,2,0,10/3/2023,Hunterdon,3/28/2024
Hunterdon Developmental Center §,Union Twp,120,89,0,0,10/2/2023,Hunterdon,2/23/2024
Independence Manor at Hunterdon,Raritan Twp,24,9,2,0,9/13/2023,Hunterdon,10/30/2023
Hunterdon Care Center,Raritan Twp,34,8,1,0,7/28/2023,Hunterdon,9/12/2023
Hunterdon Developmental Center,Union Twp,17,14,0,0,7/25/2023,Hunterdon,9/25/2023
Rolling Hills Healthcare Center,Clinton Twp,7,1,0,0,7/3/2023,Hunterdon,8/1/2023
Country Arch Care Center §,Franklin Twp,13,3,1,0,5/23/2023,Hunterdon,7/25/2023
Hunterdon Care Center,Raritan Twp,3,0,0,0,3/13/2023,Hunterdon,4/25/2023
Independence Manor at Hunterdon,Raritan Twp,11,1,1,0,2/27/2023,Hunterdon,4/6/2023
Country Arch Care Center,Franklin Twp,23,3,0,0,2/1/2023,Hunterdon,3/10/2023
Little Brook Nursing Home,Califon,8,2,0,0,1/5/2023,Hunterdon,2/21/2023
Rolling Hills Healthcare Center,Clinton Twp,17,2,1,0,1/4/2023,Hunterdon,2/21/2023
Hunterdon Developmental Center,Union Twp,63,44,0,0,12/15/2022,Hunterdon,4/3/2023
Independence Manor at Hunterdon,Raritan Twp,2,0,1,0,10/31/2022,Hunterdon,12/12/2022
Rolling Hills Healthcare Center,Clinton Twp,4,7,0,0,10/11/2022,Hunterdon,12/5/2022
Little Brook Nursing Home,Califon,17,10,0,0,9/7/2022,Hunterdon,10/19/2022
Independence Manor at Hunterdon,Raritan Twp,9,7,0,0,7/27/2022,Hunterdon,10/6/2022
Country Arch Care Center,Franklin Twp,42,13,4,0,7/25/2022,Hunterdon,10/21/2022
Rolling Hills Healthcare Center,Clinton Twp,1,1,0,0,6/23/2022,Hunterdon,8/15/2022
Hunterdon Care Center §,Raritan Twp,121,30,2,0,6/20/2022,Hunterdon,2/9/2023
Country Arch Care Center,Franklin Twp,11,7,0,0,5/31/2022,Hunterdon,7/6/2022
Independence Manor at Hunterdon,Raritan Twp,16,3,0,0,4/4/2022,Hunterdon,5/17/2022
Hunterdon Care Center,Raritan Twp,7,4,0,0,3/3/2022,Hunterdon,6/1/2022
Independence Manor at Hunterdon,Raritan Twp,5,6,0,0,1/5/2022,Hunterdon,2/25/2022
Rolling Hills Healthcare Center,Clinton Twp,27,26,2,0,1/3/2022,Hunterdon,6/21/2022
Little Brook Nursing Home,Califon,0,4,0,0,12/29/2021,Hunterdon,2/11/2022
Country Arch Care Center §,Franklin Twp,47,25,6,0,12/20/2021,Hunterdon,3/2/2022
Hunterdon Care Center,Raritan Twp,74,45,9,0,11/17/2021,Hunterdon,2/17/2022
Rolling Hills Healthcare Center,Clinton Twp,2,4,1,0,10/14/2021,Hunterdon,12/28/2021
Independence Manor at Hunterdon,Raritan Twp,1,3,0,0,10/13/2021,Hunterdon,11/30/2021
